id,type,category,question,choice1,choice2,choice3,choice4,answer,explanation,hint
11,객관식,제조·재료·제도,용융 금속을 정밀 금형에 고압·고속으로 주입하여 얇고 복잡한 주물을 대량 생산하는 주조법은?,사형 주조,원심 주조,다이캐스팅,분말 야금,3,다이캐스팅은 금속 금형에 용융 금속을 고압으로 주입하는 주조법으로 대량 생산에 적합하다.,자동차나 전자제품의 정밀 금속 부품 생산을 떠올리면 된다.
12,객관식,제조·재료·제도,두 전극 사이에 금속판을 끼우고 전류에 의한 저항열과 압력으로 접합하는 용접법은?,가스 용접,아크 용접,납땜,점 용접,4,"점 용접은 저항 용접의 한 종류로 전류, 통전 시간, 가압력이 용접 품질에 영향을 준다.",자동차 차체 판재 접합에 많이 쓰이는 방식이다.
13,객관식,제조·재료·제도,와이어 전극과 공작물 사이의 방전 에너지를 이용하여 복잡한 형상을 절단하는 가공법은?,와이어 방전가공,밀링,선반가공,압출가공,1,와이어 방전가공은 가는 전극선과 공작물 사이의 방전으로 도전성 재료를 절단하는 특수 가공법이다.,전극선으로 자르지만 톱처럼 기계적으로 자르는 것은 아니다.
14,객관식,제조·재료·제도,금속 판재를 펀치와 다이 사이에 넣어 원하는 외곽 형상으로 잘라 내는 전단 가공은?,드로잉,블랭킹,단조,압연,2,"블랭킹은 판재에서 필요한 외곽 형상을 잘라 내는 전단 가공이며, 잘려 나온 부분이 제품이 된다.",잘라져 나온 조각이 제품이면 블랭킹이다.
15,객관식,제조·재료·제도,원통 용기의 입구나 중간 부분을 좁혀 지름을 줄이는 소성 가공은?,비딩,피어싱,네킹,태핑,3,네킹은 원통형 용기의 일부 지름을 줄이는 목조르기 가공이다.,병의 목 부분처럼 좁아지는 형태를 떠올리면 된다.
16,객관식,제조·재료·제도,원통 용기의 끝 부분을 둥글게 말아 강도와 안전성을 높이는 가공은?,네킹,브로칭,래핑,비딩,4,비딩은 판재나 용기 가장자리를 둥글게 말아 강도와 안전성을 높이는 가공이다.,깡통 입구의 둥근 테두리를 생각하면 된다.
17,객관식,제조·재료·제도,제3각법 정투상도에서 정면도를 기준으로 평면도와 우측면도의 배치로 옳은 것은?,"평면도는 정면도 위, 우측면도는 정면도 오른쪽","평면도는 정면도 아래, 우측면도는 정면도 왼쪽","평면도는 정면도 왼쪽, 우측면도는 정면도 위",모든 투상도는 정면도 아래에 겹쳐 그린다,1,KS 제도에서 일반적으로 사용하는 제3각법은 보는 방향과 같은 쪽에 투상도를 배치한다.,제3각법은 오른쪽에서 본 것은 오른쪽에 둔다.
18,계산형,제조·재료·제도,"용기 20 g, 젖은 흙과 용기 170 g, 완전 건조 흙과 용기 140 g일 때 함수비는?",20%,25%,30%,40%,2,"함수비는 물의 질량/건조 흙의 질량×100이다. 물은 170-140=30 g, 건조 흙은 140-20=120 g이므로 30/120×100=25%이다.",용기 무게를 뺀 건조 흙의 무게를 분모로 둔다.
19,객관식,제조·재료·제도,치수 공차에서 구멍의 최소 치수가 축의 최대 치수보다 항상 큰 경우의 끼워맞춤은?,억지 끼워맞춤,중간 끼워맞춤,헐거운 끼워맞춤,나사 끼워맞춤,3,"항상 틈새가 생기면 헐거운 끼워맞춤이고, 항상 죔새가 생기면 억지 끼워맞춤이다.",항상 빠르게 들어가고 틈이 있으면 헐거운 끼워맞춤이다.
20,객관식,제조·재료·제도,도면에서 물체의 보이지 않는 부분의 형상을 나타내는 선은?,외형선,치수선,해칭선,숨은선,4,숨은선은 물체 뒤쪽이나 내부의 보이지 않는 모양을 나타낼 때 쓰며 일반적으로 파선으로 표시한다.,보이지 않지만 존재하는 모서리를 표시한다.
21,계산형,전기전자·정보통신·AI,권선비 N1:N2=20:1인 이상 변압기에 1차 전압 2200 V를 가하면 2차 전압은?,110 V,44 V,220 V,440 V,1,이상 변압기에서 V1/V2=N1/N2이다. 2200/V2=20/1이므로 V2=110 V이다.,전압은 권선수 비에 비례한다.
22,계산형,전기전자·정보통신·AI,2차 전압 110 V인 부하에서 2.2 kW를 소비할 때 부하 전류는?,2 A,20 A,10 A,40 A,2,전력 P=VI이므로 I=P/V=2200 W/110 V=20 A이다.,kW를 W로 바꾼 뒤 P=VI를 사용한다.
23,계산형,전기전자·정보통신·AI,"60 Hz, 4극 유도전동기의 동기속도는?",900 rpm,1200 rpm,1800 rpm,3600 rpm,3,동기속도 Ns=120f/P이므로 120×60/4=1800 rpm이다.,극수가 많아질수록 동기속도는 낮아진다.
24,계산형,전기전자·정보통신·AI,동기속도 1800 rpm인 유도전동기의 실제 회전자 속도가 1710 rpm일 때 슬립은?,2%,10%,15%,5%,4,슬립 s=(Ns-Nr)/Ns×100=(1800-1710)/1800×100=5%이다.,동기속도와 실제 속도의 차이를 동기속도로 나눈다.
25,객관식,전기전자·정보통신·AI,정전압 회로에서 주로 역방향 항복 영역을 이용하는 다이오드는?,제너 다이오드,발광 다이오드,포토 다이오드,터널 다이오드,1,제너 다이오드는 역방향 항복 전압이 일정한 특성을 이용해 전압 안정화에 사용된다.,역방향으로 사용해 전압을 안정화한다.
26,객관식,전기전자·정보통신·AI,교류를 직류로 바꾸기 위해 네 개의 다이오드를 사용하여 양·음 반주기를 모두 이용하는 회로는?,증폭 회로,브리지 정류회로,발진 회로,미분 회로,2,브리지 정류회로는 4개의 다이오드로 전파 정류를 수행하여 교류를 맥류 형태의 직류로 바꾼다.,다이오드 네 개가 다리 모양으로 연결된다.
27,계산형,전기전자·정보통신·AI,"영문 2400자를 시작 비트 1비트, ASCII 8비트, 정지 비트 1비트로 1200 bps 전송할 때 걸리는 시간은?",10초,16초,20초,24초,3,문자당 10비트이므로 총 2400×10=24000비트이다. 24000/1200=20초이다.,문자당 데이터 비트 외에 시작·정지 비트를 더한다.
28,객관식,전기전자·정보통신·AI,암호화와 복호화에 서로 다른 키를 사용하며 RSA가 대표 예인 방식은?,대칭키 암호 방식,해시 방식,압축 방식,공개키 암호 방식,4,공개키 암호 방식은 공개키와 개인키처럼 서로 다른 키를 사용한다. RSA는 대표적인 공개키 암호 알고리즘이다.,키가 하나가 아니라 쌍으로 사용된다.
29,객관식,전기전자·정보통신·AI,스마트 팩토리에서 설비와 제품이 인터넷으로 연결되어 정보를 주고받는 기술은?,사물인터넷 IoT,수동 제도,수력 발전,기계식 타자기,1,IoT는 사물들이 인터넷으로 연결되어 데이터를 주고받는 기술이며 스마트 팩토리의 핵심 기반이다.,기계와 센서가 서로 데이터를 주고받는다.
30,객관식,전기전자·정보통신·AI,입력 A와 B가 서로 다를 때만 출력이 1이 되는 논리 게이트는?,AND 게이트,XOR 게이트,OR 게이트,NOT 게이트,2,"XOR는 배타적 논리합으로 두 입력이 다를 때 1, 같을 때 0을 출력한다.","같으면 0, 다르면 1이다."
31,객관식,에너지·수송·동력,가솔린 기관에서 이상 연소로 두드리는 소리가 나고 출력과 열효율이 저하되는 현상은?,캐비테이션,슬립,노킹,헌팅,3,노킹은 가솔린 기관의 비정상 연소 현상으로 기관 손상과 출력 저하를 유발할 수 있다.,안티노크성은 이 현상이 잘 일어나지 않는 성질이다.
32,객관식,에너지·수송·동력,가솔린 연료의 안티노크성을 나타내는 지표는?,세탄가,발열량,점도지수,옥탄가,4,옥탄가는 가솔린의 노킹 저항성을 나타내며 수치가 높을수록 안티노크성이 크다.,"가솔린은 옥탄가, 디젤은 세탄가를 떠올리면 된다."
33,객관식,에너지·수송·동력,디젤기관 연료의 착화성을 나타내는 지표는?,세탄가,옥탄가,비중,응고점,1,세탄가는 디젤 연료의 자기착화성을 나타내는 지표이다.,디젤은 압축 착화 기관이다.
34,객관식,에너지·수송·동력,자동차 급제동 시 바퀴 잠김을 방지하기 위해 제동 유압을 조절하는 장치는?,GPS,ABS,ESC 전용 위성,촉매 변환기,2,ABS는 급제동 시 바퀴의 잠김을 방지하여 조향성과 제동 안정성을 높이는 장치이다.,미끄러운 길에서 바퀴가 완전히 잠기는 것을 막는다.
35,객관식,에너지·수송·동력,전기자동차 감속 시 운동에너지를 전기에너지로 회수하여 배터리를 충전하는 기술은?,기관 제동,마찰 제동만,회생 제동,공기 저항 제동,3,회생 제동은 모터를 발전기처럼 작동시켜 감속 에너지 일부를 전기에너지로 회수한다.,버려지는 감속 에너지를 다시 충전한다.
36,객관식,에너지·수송·동력,자기부상열차에서 매우 낮은 온도에서 전기저항이 거의 0이 되는 현상을 이용하는 자석은?,영구 자석,천연 자석,고무 자석,초전도 자석,4,초전도 자석은 초전도 현상을 이용하여 강한 자기장을 만들 수 있다.,MRI에도 쓰이는 초전도 기술을 떠올리면 된다.
37,객관식,에너지·수송·동력,열을 낮은 온도 쪽에서 높은 온도 쪽으로 이동시킬 수 있는 에너지 변환 장치는?,히트펌프,태양전지,수차,축전지,1,히트펌프는 외부 에너지를 사용해 저온부의 열을 고온부로 이동시키며 냉방과 난방에 응용된다.,에어컨과 원리는 비슷하지만 난방에도 활용된다.
38,객관식,에너지·수송·동력,무거운 원자핵에 중성자를 충돌시켜 쪼개질 때 발생하는 에너지를 이용하는 발전은?,파력 발전,원자력 발전,조력 발전,풍력 발전,2,원자력 발전은 우라늄 등의 핵분열에서 발생하는 에너지를 이용한다.,핵분열의 시작에 중성자가 관여한다.
39,객관식,에너지·수송·동력,해양 표면의 파도 운동에너지를 전기에너지로 바꾸는 발전은?,조력 발전,지열 발전,파력 발전,바이오가스 발전,3,파력 발전은 파도의 상하·전후 운동 등 파랑 에너지를 이용한다.,조석의 수위 차가 아니라 파도의 움직임을 이용한다.
40,객관식,에너지·수송·동력,조수 간만의 차에 따른 바닷물의 위치에너지를 이용하는 발전은?,파력 발전,태양광 발전,연료전지 발전,조력 발전,4,조력 발전은 밀물과 썰물에 따른 수위 차를 이용하여 터빈을 돌린다.,달과 태양의 인력으로 생기는 밀물·썰물과 관련된다.
41,객관식,건설·구조·환경,건물과 기초 사이에 분리 장치와 감쇠 장치를 설치해 지진 진동 전달을 줄이는 구조는?,면진 구조,내화 구조,가새 구조,조적 구조,1,면진 구조는 지반 진동이 건물로 직접 전달되는 것을 줄이기 위해 건물과 기초 사이에 장치를 설치한다.,건물과 땅 사이를 분리한다는 뜻을 떠올리면 된다.
42,객관식,건설·구조·환경,건축물 자체의 강도와 연성을 높여 지진에 견디도록 설계하는 구조는?,면진 구조,내진 구조,흡음 구조,방수 구조,2,내진 구조는 구조물 자체가 지진하중을 견디도록 부재와 접합부를 설계한다.,건물 자체를 튼튼하게 하는 방식이다.
43,객관식,건설·구조·환경,도심지에서 지하층을 시공할 때 지하 연속벽과 기둥을 먼저 시공하고 위에서 아래로 굴착하는 공법은?,개착 공법,침매 공법,역타 공법,캔틸레버 공법,3,역타 공법은 지하 구조물을 위에서 아래로 시공하여 주변 지반 안정과 공기 단축에 유리하다.,Top-down 공법이라고도 생각할 수 있다.
44,객관식,건설·구조·환경,회전 커터가 있는 굴착기를 이용하고 세그먼트를 조립하며 밀폐형으로 터널을 굴착하는 공법은?,NATM만,오픈컷 공법,케이슨 공법,TBM 공법,4,TBM 공법은 터널 보링 머신을 이용하여 막장을 안정시키며 굴착하고 세그먼트를 조립한다.,대형 원통형 기계가 터널을 파고 지나간다.
45,객관식,건설·구조·환경,토압식과 이수가압식으로 구분되는 밀폐형 터널 굴착 공법과 가장 관련 깊은 것은?,쉴드 TBM,목구조 공법,조적식 벽체 공법,트러스 교량 공법,1,쉴드 TBM은 막장 안정과 버럭 처리 방식에 따라 토압식과 이수가압식으로 구분된다.,도심지나 하저 터널에서 자주 언급된다.
46,객관식,건설·구조·환경,가느다란 부재를 삼각형 형태로 조합하여 하중을 효율적으로 지지하는 구조는?,라멘 구조,트러스 구조,막 구조,조적 구조,2,트러스 구조는 삼각형의 안정성을 이용하여 축력 중심으로 하중을 전달한다.,삼각형은 변형에 강한 기본 형태이다.
47,객관식,건설·구조·환경,하천이나 해안의 물속에서 작업 공간을 만들기 위해 사용하는 큰 상자형 기초 공법은?,다짐 공법,숏크리트 공법,케이슨 공법,목공 공법,3,케이슨 공법은 수중 또는 연약 지반에서 기초를 만들기 위해 상자형 구조물을 침하시켜 시공한다.,교량 기초나 항만 공사에서 떠올릴 수 있다.
48,객관식,건설·구조·환경,건설 재료에서 시멘트와 물의 화학 반응으로 굳어지는 과정은?,산패 반응,발효 반응,증류 반응,수화 반응,4,시멘트는 물과 반응하여 수화물을 만들고 점차 굳어 강도를 발현한다.,콘크리트가 굳는 핵심 화학 반응이다.
49,객관식,건설·구조·환경,지역의 사회·문화·환경 조건을 고려하여 소외된 사람들의 삶의 질을 개선하는 기술은?,적정기술,첨단기술만,군사기술,사치기술,1,적정기술은 현지 조건에 적합하고 지속가능하며 사용자가 유지할 수 있는 기술을 지향한다.,"라이프 스트로우, 큐 드럼 같은 사례를 떠올리면 된다."
50,객관식,건설·구조·환경,현재 세대의 필요를 충족하면서 미래 세대의 필요 충족 가능성을 해치지 않는 발전 개념은?,대량소비 발전,지속가능발전,일회용 발전,자원 고갈형 발전,2,"지속가능발전은 경제, 사회, 환경의 균형을 고려하여 미래 세대까지 생각하는 발전이다.",미래 세대의 권리를 함께 고려한다.
51,객관식,생명기술·발명·지식재산,DNA의 특정 부위에 위치하며 단백질 생산 정보와 형질 정보를 담는 기능적 단위는?,염색약,세포벽,유전자,항원만,3,유전자는 DNA의 특정 염기서열로 형질 발현에 필요한 정보를 담고 다음 세대로 전달될 수 있다.,DNA 위에 있는 정보 단위이다.
52,객관식,생명기술·발명·지식재산,DNA 절편을 크기에 따라 젤에서 분리해 개인 식별 등에 활용하는 띠 모양 분석 결과는?,백신,항체,염색체 수식도만,DNA 지문,4,"DNA 지문은 반복 염기서열 차이를 이용해 개인 식별, 친자 확인, 범죄 수사 등에 활용된다.",전기영동 후 바코드처럼 보이는 띠이다.
53,객관식,생명기술·발명·지식재산,동물의 장기를 인간에게 이식하는 기술을 가리키는 말은?,이종 이식,자가 이식,동계 이식,수정란 이식,1,이종 이식은 서로 다른 종 사이에서 장기나 조직을 이식하는 것을 말한다.,돼지 장기를 인간에게 이식하는 연구를 떠올리면 된다.
54,객관식,생명기술·발명·지식재산,음식물 쓰레기나 가축 분뇨를 공기 없는 상태에서 미생물로 분해할 때 주로 발생하는 가연성 기체는?,산소,메탄,질소,헬륨,2,혐기성 소화 과정에서 발생하는 바이오가스의 주요 성분은 메탄이며 에너지로 활용할 수 있다.,무색·무취의 탄소 화합물이며 온실가스이기도 하다.
55,객관식,생명기술·발명·지식재산,효모나 미생물을 이용해 당을 에탄올로 바꾸는 과정은?,증류,중합,발효,전기도금,3,바이오에탄올은 사탕수수나 옥수수 등의 당을 미생물 발효로 에탄올로 변환하여 생산할 수 있다.,막걸리나 술이 만들어지는 원리와 관련된다.
56,객관식,생명기술·발명·지식재산,발명의 신규성 판단에서 가장 중요한 의미는?,이미 널리 알려진 기술이어야 한다,반드시 디자인이 아름다워야 한다,상표와 동일해야 한다,출원 전에 같은 기술이 공개되어 있지 않아야 한다,4,특허의 신규성은 출원 전에 동일한 발명이 국내외에 공개되지 않았는지를 판단하는 요건이다.,새로워야 한다는 말 그대로이다.
57,객관식,생명기술·발명·지식재산,특허권이 보호하는 대상에 가장 가까운 것은?,기술적 사상의 창작,상품의 이름만,문학 작품의 문장 표현,상점의 간판 색상만,1,특허는 자연법칙을 이용한 기술적 사상의 창작 중 고도한 것을 보호한다.,기술 아이디어의 보호와 관련된다.
58,객관식,생명기술·발명·지식재산,상표권이 주로 보호하는 것은?,제품 내부 회로의 원리,상품이나 서비스의 출처를 식별하게 하는 표지,소설의 줄거리,콘크리트의 압축강도,2,"상표는 상품이나 서비스의 출처를 구별하게 하는 문자, 도형, 기호 등의 표지를 보호한다.",브랜드 이름이나 로고를 떠올리면 된다.
59,객관식,생명기술·발명·지식재산,3D 프린터와 레이저 조각기 사용 시 유해물질 정보를 확인하기 위해 창의발명실에 비치해야 할 자료로 가장 적절한 것은?,출석부,급식표,물질안전보건자료 MSDS,교가 악보,3,"MSDS는 화학물질의 유해성, 취급 방법, 보호구, 응급조치 등을 확인하는 안전 자료이다.",분진이나 유해물질이 발생할 때 확인할 안전 자료이다.
60,객관식,생명기술·발명·지식재산,발명 아이디어를 사업화와 연결하여 새로운 가치를 창출하려는 태도와 능력은?,수동적 소비 태도,모방만 하는 태도,위험 회피만 하는 태도,기업가 정신,4,기업가 정신은 새로운 기회를 발견하고 도전하여 가치를 창출하려는 태도와 역량이다.,"창업, 도전, 가치 창출과 연결된다."
